p_l_0_depth,p_l_1_depth,p_l_2_depth,p_r_0_depth,p_r_1_depth,p_r_2_depth,p_l_0[x],p_l_0[y],p_l_0[z],p_l_1[x],p_l_1[y],p_l_1[z],p_l_2[x],p_l_2[y],p_l_2[z],p_r_0[x],p_r_0[y],p_r_0[z],p_r_1[x],p_r_1[y],p_r_1[z],p_r_2[x],p_r_2[y],p_r_2[z],t_r_l(0,0),t_r_l(1,0),t_r_l(2,0),t_r_l(3,0),t_r_l(0,1),t_r_l(1,1),t_r_l(2,1),t_r_l(3,1),t_r_l(0,2),t_r_l(1,2),t_r_l(2,2),t_r_l(3,2),t_r_l(0,3),t_r_l(1,3),t_r_l(2,3),t_r_l(3,3),
1.237968,1.599544,1.430774,1.872020,1.532075,2.024720,0.132848,-0.608715,-1.237968,0.506172,-0.501932,-1.599544,-0.063096,-0.557290,-1.430774,-0.578734,-0.132734,-1.872020,-0.207267,-0.292931,-1.532075,-0.372863,-0.044613,-2.024720,-0.009370,-0.472590,0.881232,0.000000,0.233075,0.855966,0.461518,0.000000,-0.972414,0.209717,0.102128,0.000000,-1.639430,0.710712,-1.581726,1.000000,0.702994,0.710155,-0.038463,0.000000,-0.303171,0.348158,0.887059,0.000000,0.643341,-0.611936,0.460052,0.000000,1.189952,-1.120153,0.956709,1.000000,
1.238117,1.599328,1.431471,1.872679,1.534212,2.026056,0.132864,-0.608788,-1.238117,0.506104,-0.501864,-1.599328,-0.063127,-0.557562,-1.431471,-0.578937,-0.132780,-1.872679,-0.207556,-0.293340,-1.534212,-0.373109,-0.044642,-2.026056,-0.007654,-0.474153,0.880409,0.000000,0.234519,0.855028,0.462523,0.000000,-0.972081,0.210013,0.104653,0.000000,-1.638699,0.710770,-1.578502,1.000000,0.704031,0.709233,-0.036457,0.000000,-0.304375,0.347728,0.886815,0.000000,0.641635,-0.613249,0.460683,0.000000,1.187752,-1.123446,0.959358,1.000000,
1.238146,1.599264,1.431256,1.873377,1.533829,2.022534,0.132867,-0.608802,-1.238146,0.506084,-0.501844,-1.599264,-0.063118,-0.557478,-1.431256,-0.579153,-0.132830,-1.873377,-0.207505,-0.293266,-1.533829,-0.372460,-0.044565,-2.022534,-0.008143,-0.477828,0.878415,0.000000,0.229066,0.854195,0.466776,0.000000,-0.973377,0.205016,0.102499,0.000000,-1.643797,0.704534,-1.579006,1.000000,0.703412,0.709509,-0.042531,0.000000,-0.303656,0.354070,0.884549,0.000000,0.642655,-0.609288,0.464503,0.000000,1.189983,-1.115280,0.963052,1.000000,
1.237964,1.600303,1.430450,1.872849,1.533818,2.024009,0.132848,-0.608713,-1.237964,0.506413,-0.502170,-1.600303,-0.063082,-0.557164,-1.430450,-0.578990,-0.132792,-1.872849,-0.207503,-0.293264,-1.533818,-0.372732,-0.044597,-2.024009,-0.008952,-0.474203,0.880370,0.000000,0.231875,0.855424,0.463124,0.000000,-0.972705,0.208282,0.102298,0.000000,-1.640828,0.708757,-1.581254,1.000000,0.703685,0.709406,-0.039647,0.000000,-0.303972,0.351018,0.885657,0.000000,0.642206,-0.611171,0.462645,0.000000,1.188817,-1.119081,0.961118,1.000000,
1.238082,1.598985,1.430854,1.873268,1.533456,2.023000,0.132860,-0.608771,-1.238082,0.505996,-0.501756,-1.598985,-0.063100,-0.557321,-1.430854,-0.579119,-0.132822,-1.873268,-0.207454,-0.293195,-1.533456,-0.372546,-0.044575,-2.023000,-0.008310,-0.476625,0.879068,0.000000,0.230232,0.854568,0.465518,0.000000,-0.973100,0.206258,0.102633,0.000000,-1.642635,0.706103,-1.579601,1.000000,0.703227,0.709723,-0.042017,0.000000,-0.303441,0.353059,0.885027,0.000000,0.642958,-0.609625,0.463640,0.000000,1.190382,-1.115883,0.961740,1.000000,
1.238096,1.599288,1.430858,1.873424,1.533533,2.021205,0.132862,-0.608778,-1.238096,0.506092,-0.501852,-1.599288,-0.063100,-0.557323,-1.430858,-0.579167,-0.132833,-1.873424,-0.207465,-0.293210,-1.533533,-0.372215,-0.044535,-2.021205,-0.008435,-0.478551,0.878019,0.000000,0.227594,0.854087,0.467693,0.000000,-0.973720,0.203777,0.101711,0.000000,-1.645050,0.702992,-1.579430,1.000000,0.703195,0.709602,-0.044524,0.000000,-0.303404,0.356120,0.883813,0.000000,0.643011,-0.607984,0.465717,0.000000,1.190597,-1.112528,0.964099,1.000000,
1.237895,1.600183,1.430722,1.874259,1.533465,2.026883,0.132840,-0.608679,-1.237895,0.506375,-0.502132,-1.600183,-0.063094,-0.557270,-1.430722,-0.579426,-0.132892,-1.874259,-0.207455,-0.293197,-1.533465,-0.373261,-0.044660,-2.026883,-0.010301,-0.472098,0.881486,0.000000,0.231828,0.856386,0.461365,0.000000,-0.972702,0.209106,0.100624,0.000000,-1.641052,0.709937,-1.585971,1.000000,0.702707,0.710403,-0.039123,0.000000,-0.302839,0.348410,0.887073,0.000000,0.643811,-0.611504,0.459968,0.000000,1.192589,-1.119991,0.957315,1.000000,
1.237765,1.600548,1.431083,1.873852,1.533457,2.025017,0.132826,-0.608615,-1.237765,0.506490,-0.502247,-1.600548,-0.063110,-0.557410,-1.431083,-0.579300,-0.132863,-1.873852,-0.207454,-0.293195,-1.533457,-0.372917,-0.044619,-2.025017,-0.010289,-0.474294,0.880306,0.000000,0.229141,0.855809,0.463774,0.000000,-0.973339,0.206486,0.099874,0.000000,-1.643239,0.706574,-1.584899,1.000000,0.702918,0.710109,-0.040647,0.000000,-0.303083,0.350734,0.886074,0.000000,0.643465,-0.610517,0.461759,0.000000,1.191689,-1.117854,0.959448,1.000000,
1.237667,1.600747,1.430667,1.873844,1.533293,2.019303,0.132816,-0.608567,-1.237667,0.506553,-0.502309,-1.600747,-0.063092,-0.557248,-1.430667,-0.579297,-0.132863,-1.873844,-0.207432,-0.293164,-1.533293,-0.371865,-0.044493,-2.019303,-0.010295,-0.479841,0.877295,0.000000,0.222263,0.854296,0.469870,0.000000,-0.974932,0.199827,0.097856,0.000000,-1.649310,0.698083,-1.583302,1.000000,0.702815,0.709754,-0.047950,0.000000,-0.302965,0.359626,0.882543,0.000000,0.643632,-0.605738,0.467781,0.000000,1.191953,-1.107918,0.966029,1.000000,
1.237667,1.600747,1.430667,1.873666,1.533410,2.021078,0.132816,-0.608567,-1.237667,0.506553,-0.502309,-1.600747,-0.063092,-0.557248,-1.430667,-0.579242,-0.132850,-1.873666,-0.207448,-0.293186,-1.533410,-0.372192,-0.044533,-2.021078,-0.010215,-0.477855,0.878379,0.000000,0.224889,0.854823,0.467656,0.000000,-0.974331,0.202315,0.098733,0.000000,-1.646922,0.701232,-1.583531,1.000000,0.702986,0.709762,-0.045260,0.000000,-0.303162,0.356619,0.883694,0.000000,0.643353,-0.607504,0.465871,0.000000,1.191353,-1.111558,0.964070,1.000000,
